n,Length to reach n,check
532,31,True
533,31,True
534,23,True
535,23,True
536,31,True
537,23,True
538,31,True
539,49,True
540,44,True
541,44,True
542,44,True
543,137,True
544,18,True
545,44,True
546,31,True
547,31,True
548,93,True
549,93,True
550,93,True
551,44,True
552,18,True
553,137,True
554,18,True
555,31,True
556,44,True
557,44,True
558,44,True
559,88,True
560,18,True
561,44,True
562,44,True
563,44,True
564,18,True
565,18,True
566,62,True
567,62,True
568,106,True
569,57,True
570,106,True
571,31,True
572,106,True
573,106,True
574,44,True
575,44,True
576,26,True
577,31,True
578,31,True
579,31,True
580,119,True
581,119,True
582,119,True
583,31,True
584,119,True
585,57,True
586,119,True
587,119,True
588,119,True
589,119,True
590,57,True
591,57,True
592,26,True
593,75,True
594,75,True
595,75,True
596,26,True
597,26,True
598,119,True
599,119,True
600,18,True
601,57,True
602,18,True
603,70,True
604,18,True
605,18,True
606,44,True
607,44,True
608,26,True
609,132,True
610,39,True
611,39,True
612,39,True
613,39,True
614,39,True
615,70,True
616,26,True
617,132,True
618,26,True
619,132,True
620,88,True
621,88,True
622,88,True
623,132,True
624,39,True
625,26,True
626,132,True
627,132,True
628,39,True
629,39,True
630,39,True
631,39,True
632,39,True
633,31,True
634,39,True
635,31,True
636,57,True
637,57,True
638,57,True
639,132,True
640,13,True
641,52,True
642,26,True
643,26,True
644,101,True
645,101,True
646,101,True
647,39,True
648,26,True
649,145,True
650,26,True
651,101,True
652,26,True
653,26,True
654,145,True
655,145,True
656,114,True
657,52,True
658,52,True
659,52,True
660,114,True
661,114,True
662,26,True
663,26,True
664,114,True
665,52,True
666,114,True
667,145,True
668,70,True
669,70,True
670,70,True
671,96,True
672,13,True
673,65,True
674,114,True
675,114,True
676,52,True
677,52,True
678,52,True
679,65,True
680,13,True
681,65,True
682,13,True
683,39,True
684,127,True
685,127,True
686,127,True
687,39,True
688,34,True
689,127,True
690,127,True
691,127,True
692,34,True
693,34,True
694,127,True
695,127,True
696,34,True
697,127,True
698,34,True
699,65,True
700,83,True
701,83,True
702,83,True
703,171,True
704,21,True
705,34,True
706,127,True
707,127,True
708,34,True
709,34,True
710,34,True
711,65,True
712,34,True
713,26,True
714,34,True
715,26,True
716,34,True
717,34,True
718,52,True
719,52,True
720,21,True
721,47,True
722,47,True
723,47,True
724,21,True
725,21,True
726,47,True
727,47,True
728,96,True
729,34,True
730,96,True
731,140,True
732,96,True
733,96,True
734,47,True
735,47,True
736,21,True
737,140,True
738,21,True
739,21,True
740,47,True
741,47,True
742,47,True
743,96,True
744,21,True
745,91,True
746,21,True
747,47,True
748,47,True
749,47,True
750,47,True
751,140,True
752,109,True
753,21,True
754,65,True
755,65,True
756,109,True
757,109,True
758,60,True
759,60,True
760,109,True
761,34,True
762,109,True
763,153,True
764,47,True
765,47,True
766,47,True
767,60,True
768,16,True
769,34,True
770,34,True
771,34,True
772,122,True
773,122,True
774,122,True
775,153,True
776,122,True
777,34,True
778,122,True
779,60,True
780,122,True
781,122,True
782,122,True
783,122,True
784,29,True
785,122,True
786,60,True
787,60,True
788,29,True
789,29,True
790,78,True
791,78,True
792,29,True
793,78,True
794,29,True
795,104,True
796,122,True
797,122,True
798,122,True
799,73,True
800,29,True
801,60,True
802,21,True
803,21,True
804,21,True
805,21,True
806,21,True
807,73,True
808,29,True
809,47,True
810,29,True
811,135,True
812,42,True
813,42,True
814,42,True
815,135,True
816,29,True
817,42,True
818,42,True
819,42,True
820,29,True
821,29,True
822,135,True
823,135,True
824,91,True
825,135,True
826,91,True
827,42,True
828,91,True
829,91,True
830,135,True
831,135,True
832,16,True
833,29,True
834,135,True
835,135,True
836,42,True
837,42,True
838,42,True
839,86,True
840,42,True
841,42,True
842,42,True
843,42,True
844,42,True
845,42,True
846,34,True
847,34,True
848,16,True
849,60,True
850,60,True
851,60,True
852,16,True
853,16,True
854,55,True
855,55,True
856,104,True
857,29,True
858,104,True
859,148,True
860,104,True
861,104,True
862,42,True
863,42,True
864,117,True
865,148,True
866,29,True
867,29,True
868,29,True
869,29,True
870,29,True
871,179,True
872,117,True
873,148,True
874,117,True
875,29,True
876,55,True
877,55,True
878,55,True
879,148,True
880,117,True
881,117,True
882,29,True
883,29,True
884,117,True
885,117,True
886,55,True
887,55,True
888,73,True
889,148,True
890,73,True
891,47,True
892,73,True
893,73,True
894,99,True
895,99,True
896,24,True
897,68,True
898,117,True
899,117,True
900,55,True
901,55,True
902,55,True
903,117,True
904,16,True
905,68,True
906,16,True
907,55,True
908,16,True
909,16,True
910,42,True
911,42,True
912,37,True
913,130,True
914,130,True
915,130,True
916,37,True
917,37,True
918,130,True
919,130,True
920,37,True
921,130,True
922,37,True
923,68,True
924,130,True
925,130,True
926,130,True
927,117,True
928,24,True
929,130,True
930,37,True
931,37,True
932,86,True
933,86,True
934,86,True
935,130,True
936,24,True
937,174,True
938,24,True
939,86,True
940,130,True
941,130,True
942,130,True
943,37,True
944,37,True
945,37,True
946,37,True
947,37,True
948,37,True
949,37,True
950,29,True
951,29,True
952,37,True
953,29,True
954,37,True
955,29,True
956,55,True
957,55,True
958,55,True
959,130,True
960,24,True
961,50,True
962,50,True
963,50,True
964,24,True
965,24,True
966,24,True
967,143,True
968,99,True
969,50,True
970,99,True
971,37,True
972,99,True
973,99,True
974,143,True
975,143,True
976,24,True
977,99,True
978,50,True
979,50,True
980,24,True
981,24,True
982,143,True
983,143,True
984,50,True
985,24,True
986,50,True
987,37,True
988,50,True
989,50,True
990,99,True
991,99,True
992,112,True
993,94,True
994,24,True
995,24,True
996,50,True
997,50,True
998,50,True
999,50,True
1000,112,True
1001,143,True
1002,112,True
1003,42,True
1004,68,True
1005,68,True
1006,68,True
1007,94,True
1008,112,True
1009,112,True
1010,63,True
1011,63,True
1012,112,True
1013,112,True
1014,37,True
1015,37,True
1016,50,True
1017,156,True
1018,50,True
1019,63,True
1020,50,True
1021,50,True
1022,63,True
1023,63,True
1024,11,True
1025,37,True
1026,37,True
1027,37,True
1028,125,True
1029,125,True
1030,125,True
1031,37,True
1032,125,True
1033,156,True
